id,title,genres,averageRating,releaseYear
970,Captain America: Civil War,"Action, Sci-Fi",7.8,2016
971,The Batman,"Action, Crime, Drama",7.8,2022
972,The Social Network,"Biography, Drama",7.8,2010
973,Dunkirk,"Action, Drama, History",7.8,2017
974,Get Out,"Horror, Mystery, Thriller",7.8,2017
975,Skyfall,"Action, Adventure, Thriller",7.8,2012
976,Drive,"Action, Drama",7.8,2011
977,The Hobbit: The Desolation of Smaug,"Adventure, Fantasy",7.8,2013
978,The Curious Case of Benjamin Button,"Drama, Fantasy, Romance",7.8,2008
979,Rogue One: A Star Wars Story,"Action, Adventure, Sci-Fi",7.8,2016
980,The Hateful Eight,"Crime, Drama, Mystery",7.8,2015
981,Cast Away,"Adventure, Drama, Romance",7.8,2000
982,The Notebook,"Drama, Romance",7.8,2004
983,Nightcrawler,"Crime, Drama, Thriller",7.8,2014
984,Back to the Future Part II,"Adventure, Comedy, Sci-Fi",7.8,1989
985,The Bourne Identity,"Action, Mystery, Thriller",7.8,2002
986,Everything Everywhere All at Once,"Action, Adventure, Comedy",7.8,2022
987,Hot Fuzz,"Action, Comedy, Mystery",7.8,2007
988,Edward Scissorhands,"Drama, Fantasy, Romance",7.8,1990
989,Little Miss Sunshine,"Comedy, Drama",7.8,2006
990,Big Hero 6,"Action, Adventure, Animation",7.8,2014
991,The Girl with the Dragon Tattoo,"Crime, Drama, Mystery",7.8,2011
992,The Big Short,"Biography, Comedy, Drama",7.8,2015
993,Captain Phillips,"Action, Biography, Crime",7.8,2013
994,Training Day,"Crime, Drama, Thriller",7.8,2001
995,The Last Samurai,"Action, Drama",7.8,2003
996,Predator,"Action, Adventure, Horror",7.8,1987
997,American Gangster,"Biography, Crime, Drama",7.8,2007
998,Ghostbusters,"Action, Comedy, Fantasy",7.8,1984
999,The Breakfast Club,"Comedy, Drama",7.8,1985
1000,The Irishman,"Biography, Crime, Drama",7.8,2019
