id,title,genres,averageRating,releaseYear
261,Die Hard,"Action, Thriller",8.2,1988
262,Taxi Driver,"Crime, Drama",8.2,1976
263,Spider-Man: No Way Home,"Action, Adventure, Fantasy",8.2,2021
264,Snatch,"Comedy, Crime",8.2,2000
265,A Clockwork Orange,"Crime, Sci-Fi",8.2,1971
266,Prisoners,"Crime, Drama, Mystery",8.2,2013
267,Indiana Jones and the Last Crusade,"Action, Adventure",8.2,1989
268,Full Metal Jacket,"Drama, War",8.2,1987
269,Top Gun: Maverick,"Action, Drama",8.2,2022
270,1917,"Action, Drama, War",8.2,2019
271,Pan's Labyrinth,"Drama, Fantasy, War",8.2,2006
272,There Will Be Blood,Drama,8.2,2007
273,L.A. Confidential,"Crime, Drama, Mystery",8.2,1997
274,Green Book,"Biography, Comedy, Drama",8.2,2018
275,Casino,"Crime, Drama",8.2,1995
276,Monty Python and the Holy Grail,"Adventure, Comedy, Fantasy",8.2,1975
277,The Thing,"Horror, Mystery, Sci-Fi",8.2,1982
278,Howl's Moving Castle,"Adventure, Animation, Family",8.2,2004
279,Unforgiven,"Drama, Western",8.2,1992
280,Vertigo,"Mystery, Romance, Thriller",8.2,1958
281,Downfall,"Biography, Drama, History",8.2,2004
282,Gone with the Wind,"Drama, Romance, War",8.2,1939
283,Some Like It Hot,"Comedy, Music, Romance",8.2,1959
284,For a Few Dollars More,"Drama, Western",8.2,1965
285,The Elephant Man,"Biography, Drama",8.2,1980
286,The Great Escape,"Adventure, Drama, Thriller",8.2,1963
287,The Secret in Their Eyes,"Drama, Mystery, Romance",8.2,2009
288,Klaus,"Adventure, Animation, Comedy",8.2,2019
289,The Father,"Drama, Mystery",8.2,2020
290,Dial M for Murder,"Crime, Drama, Mystery",8.2,1954
291,Rashomon,"Crime, Drama, Mystery",8.2,1950
292,Bicycle Thieves,Drama,8.2,1948
293,The Wild Robot,"Animation, Sci-Fi",8.2,2024
294,K.G.F: Chapter 2,"Action, Crime, Drama",8.2,2022
